,annotations,byteCode,descriptions
984,"['mark', 'symbol', 'up', 'word']",\U0001F199,squared up with exclamation mark
985,"['symbol', 'versus', 'vs', 'word']",\U0001F19A,squared vs
986,"['japanese', 'symbol', 'word']",\U0001F201,squared katakana koko
987,"['japanese', 'symbol', 'word']",\U0001F202,squared katakana sa
988,"['japanese', 'symbol', 'word']",\U0001F237,squared cjk unified ideograph-6708
989,"['japanese', 'symbol', 'word']",\U0001F236,squared cjk unified ideograph-6709
990,"['japanese', 'symbol', 'word']",\U0001F22F,squared cjk unified ideograph-6307
991,"['japanese', 'symbol', 'word']",\U0001F250,circled ideograph advantage
992,"['japanese', 'symbol', 'word']",\U0001F239,squared cjk unified ideograph-5272
993,"['japanese', 'symbol', 'word']",\U0001F21A,squared cjk unified ideograph-7121
994,"['japanese', 'symbol', 'word']",\U0001F232,squared cjk unified ideograph-7981
995,"['chinese', 'symbol', 'word']",\U0001F251,circled ideograph accept
996,"['chinese', 'symbol', 'word']",\U0001F238,squared cjk unified ideograph-7533
997,"['chinese', 'symbol', 'word']",\U0001F234,squared cjk unified ideograph-5408
998,"['chinese', 'symbol', 'word']",\U0001F233,squared cjk unified ideograph-7a7a
999,"['chinese', 'congratulation', 'congratulations', 'ideograph', 'symbol', 'word']",\U00003297,circled ideograph congratulation
1000,"['chinese', 'ideograph', 'secret', 'symbol', 'word']",\U00003299,circled ideograph secret
1001,"['chinese', 'symbol', 'word']",\U0001F23A,squared cjk unified ideograph-55b6
1002,"['chinese', 'symbol', 'word']",\U0001F235,squared cjk unified ideograph-6e80
1003,"['geometric', 'sign', 'square', 'symbol']",\U000025AA,black small square
1004,"['geometric', 'sign', 'square', 'symbol']",\U000025AB,white small square
1005,"['geometric', 'sign', 'square', 'symbol']",\U000025FB,white medium square
1006,"['geometric', 'sign', 'square', 'symbol']",\U000025FC,black medium square
1007,"['geometric', 'sign', 'square', 'symbol']",\U000025FD,white medium small square
1008,"['geometric', 'sign', 'square', 'symbol']",\U000025FE,black medium small square
1009,"['geometric', 'sign', 'square', 'symbol']",\U00002B1B,black large square
1010,"['geometric', 'sign', 'square', 'symbol']",\U00002B1C,white large square
1011,"['diamond', 'geometric', 'orange', 'sign', 'symbol']",\U0001F536,large orange diamond
1012,"['blue', 'diamond', 'geometric', 'sign', 'symbol']",\U0001F537,large blue diamond
1013,"['diamond', 'geometric', 'orange', 'sign', 'symbol']",\U0001F538,small orange diamond
1014,"['blue', 'diamond', 'geometric', 'sign', 'symbol']",\U0001F539,small blue diamond
1015,"['geometric', 'red', 'sign', 'symbol']",\U0001F53A,up-pointing red triangle
1016,"['down', 'geometric', 'red', 'sign', 'symbol']",\U0001F53B,down-pointing red triangle
1017,"['comic', 'diamond', 'geometric', 'inside', 'sign', 'symbol']",\U0001F4A0,diamond shape with a dot inside
1018,"['button', 'geometric', 'radio', 'sign', 'symbol']",\U0001F518,radio button
1019,"['button', 'geometric', 'sign', 'square', 'symbol']",\U0001F532,black square button
1020,"['button', 'geometric', 'outlined', 'sign', 'square', 'symbol']",\U0001F533,white square button
1021,"['circle', 'geometric', 'sign', 'symbol']",\U000026AA,medium white circle
1022,"['circle', 'geometric', 'sign', 'symbol']",\U000026AB,medium black circle
1023,"['circle', 'geometric', 'red', 'sign', 'symbol']",\U0001F534,large red circle
